Datetime,retweetCount,Text,Username,Keywords,truthfulness
2021-02-27 23:27:47+00:00,200,"The Food and Drug Administration granted emergency use authorization to Johnson & Johnson's Covid-19 vaccine on Saturday, adding a third vaccine to the U.S. arsenal to fight the pandemic.

“Today’s emergency use authorization of the Janssen Covid-19 vaccine is another milestone as we work to end the Covid-19 pandemic,” said Dr. Peter Marks, director of the FDA Center for Biologics Evaluation and Research. “Guided by our careful review of the science and data, we have determined that the vaccine’s known potential benefits clearly outweigh its known potential risks.”

Full coverage of the coronavirus outbreak

The decision comes one day after an advisory committee to the FDA voted unanimously in favor of recommending the vaccine.

""We're in a race between the virus mutating, with new variants coming out that can cause further disease, and stopping it,"" said Dr. Jay Portnoy, a professor of pediatrics at the University of Missouri-Kansas City School of Medicine and a member of the advisory committee.

""The fewer people who are infected with the virus, the less opportunity it has to emerge as a more virulent strain.""

President Joe Biden released a statement after the announcement, calling the decision ""exciting news for all Americans, and an encouraging development in our efforts to bring an end to the crisis.""

Doses are expected to begin shipping Monday, starting with about 4 million of them. Johnson & Johnson, which developed the vaccine in partnership with Janssen Pharmaceuticals, said that 20 million doses will be available by the end of March.

That will be enough to fully vaccinate 20 million people, because the Johnson & Johnson vaccine is given as a single dose. The other available vaccines, from Pfizer-BioNTech and Moderna, are given as two doses each, three to four weeks apart.

Though the Johnson & Johnson vaccine will be given as a single dose, the company is studying the impact of a second dose.

On Friday, members of the FDA's panel of independent experts wondered what would happen if a two-dose formulation is ultimately authorized.

Dr. Paul Offit, a vaccine expert at the Children's Hospital of Philadelphia, suggested it might be difficult to communicate the change to those who only received the one dose.

""You can see where that would be confusing to people where they may be thinking, 'Maybe I didn’t get what I need?'""

An FDA analysis, posted online Wednesday, found the vaccine to be safe and effective. The single shot was shown to be 86 percent effective at preventing severe disease. In the U.S., the shot was found to be 72 percent effective at preventing moderate to severe disease. In South Africa, where a worrisome variant is circulating, that number was lower: 64 percent.

""People should take the vaccine they are able to access,"" said Acting FDA Commissioner Janet Woodcock. ""All these vaccines meet our standards for effectiveness.""

Download the NBC News app for full coverage of the coronavirus outbreak

Dr. Richard Besser, president and CEO of the Robert Wood Johnson Foundation and a former acting director of the Centers for Disease Control and Prevention, applauded the FDA's decision.

""With three Covid-19 vaccines now available, the number of cases and deaths around the country continuing to fall, and Congress taking steps toward approving additional critically needed economic relief, I have never been more encouraged that we might be finally turning the corner on this pandemic,"" he said in a statement.

Still, Besser said that Americans must remain vigilant, adhering to mask-wearing, distancing and limiting travel. ""Whether and when the pandemic ends is — as it has always been — largely up to us.”

In December, the FDA authorized Covid-19 vaccines from Pfizer-BioNTech and Moderna. Two more vaccines, from AstraZeneca and Novavax, are completing Phase 3 clinical trials, and are expected to apply for FDA authorization in the spring.

Follow NBC HEALTH on Twitter & Facebook.",MSNBC,"['johnson', 'authorization', 'covid19', 'grants', 'emergency', 'pandemic', 'vaccines', 'million', 'given', 'vaccine', 'single', 'fda', 'disease']",0
2021-02-27 22:03:43+00:00,46,"Up Next Inside With Jen Psaki 12:00 PM ET

1:00 PM ET Alex Witt Reports

2:00 PM ET Yasmin Vossoughian Reports

3:00 PM ET Yasmin Vossoughian Reports

4:00 PM ET Symone

5:00 PM ET PoliticsNation

6:00 PM ET The Indictment of Donald Trump

8:00 PM ET The Mehdi Hasan Show

9:00 PM ET Ayman

10:00 PM ET The Culture Is: AAPI Women

11:00 PM ET The Indictment of Donald Trump",MSNBC,"['tv', 'indictment', 'trump800', 'yasmin', 'witt', 'et', 'stream', 'donald', 'symone500', 'live', 'msnbc', 'latest', 'women1100', 'shows', 'vossoughian', 'trump']",0
2021-02-27 20:04:04+00:00,89,"There may be no creature on this planet more stubborn than a Republican member of Congress. President Joe Biden's Covid-19 stimulus package is chugging along, with Democrats in the both the House and the Senate committed to its passage. And yet as a whole, the GOP caucus is still digging in its heels. But its reluctance reflects a partisan commitment to obstruction, not what Americans want.

As it stands, time isn't on Republicans' side as they desperately try to derail things. Democrats hope to get the bill to Biden's desk before March 14, when some unemployment benefits are set to expire. The House is set to vote on the $1.9 trillion package as soon as Friday after weeks of shepherding the behemoth through various committees. But the bill will face a tougher challenge in the Senate, where changes will definitely be made. (Case in point: The Senate parliamentarian ruled on Thursday that the $15-an-hour minimum wage hike can't stay in the bill.) That leaves little time for delay, despite grumbling from some Republicans that Biden didn't give them enough time to haggle.

But whether Republicans like it or not (and they don't) the bill as it stands is the only game in town right now. In response, they are pretty transparent about their efforts to obstruct like the dickens in the hope that they can turn around and blame Democrats for not getting anything done for Americans in the 2022 midterm elections. In effect, they're running the same play that they used effectively at the beginning of the Great Recession over a decade ago. But 2021 isn't 2009, and it's truly wild that Republicans can't see that yet.

In early February 2009, Gallup polls showed that about 52 percent of Americans were in favor of the $800 billion proposal that would eventually become the American Recovery and Relief Act. Only 24 percent of Republicans surveyed in the poll, taken soon after the deal passed in the House, supported the measure. If anything, it seemed like President Barack Obama's personal approval rating was buoying support for the bill overall.

And even though over two-thirds of Americans thought more money would need to be spent to stimulate the economy, the final bill was smaller than originally planned thanks to GOP criticism. This set Democrats up to fail, making the bill less effective and ultimately less popular. In other words, Republican opposition made some horrible degree of sense — a reality validated by GOP gains in the 2012 midterms.

Fast-forward to today and you'll find a vastly different situation. Given the political division in this country, Biden's proposal is almost absurdly popular, with sizable majorities backing it in recent polls. What's really amazing, though, is that the bill is only growing in popularity — including among Republican voters.

A poll by Quinnipiac University taken in the last week of January found that 68 percent of respondents were on board with Biden's plan, including about 37 percent of Republicans. A New York Times/SurveyMonkey poll taken the next week bumped that approval up to 72 percent of respondents and 43 percent of Republicans surveyed. But most eye-popping was this week's news that a new Morning Consult/Politico survey found that 60 percent of Republicans asked were at least somewhat supportive of the $1.9 trillion package. Overall, 76 percent of the respondents in that poll wanted the bill signed into law.

What's really amazing, though, is that the bill is only growing in popularity — including among Republican voters.

If that wasn't enough, you know who else loves this bill? Businesses. The U.S. Chamber of Commerce came out in favor of Biden's proposal early. Then, on Wednesday, more than 150 top business leaders signed a letter encouraging Congress to pass the bill posthaste. That included executives from ""AT&T, Blackstone, Comcast (the parent company of NBCUniversal), Corcoran, Goldman Sachs, Google, Saks Fifth Avenue, Siemens, T-Mobile and United Airlines,"" so, uh, not exactly a small segment of the economy.

Even elected Republicans back this bill, as long as they aren't coastal elites who spend their days in Washington, D.C. Out in the real heartland — places like Arizona, Texas and Oklahoma — mayors of cities in need of help are throwing their support behind Biden's stimulus efforts. As Mayor Bryan Barnett of Rochester Hills, Michigan, told USA Today, his constituents aren't interested in ""the games being played in Washington."" (And I've been to Rochester Hills, Michigan; it's not exactly a bastion of liberalism.)

Biden, to his credit, has done his best to get Republicans to see the writing on the wall. ""My hope is that the Republicans in Congress listen to their constituents,"" he said during a Pfizer vaccine facility tour on Feb. 19. White House press secretary Jen Psaki wasn't joking when she told reporters Jan. 29 that despite the bill's moving forward in a way that won't require GOP defectors to pass in the Senate, ""Republicans can still vote for a package even if it goes through reconciliation.""

And yet, when the package passed out of the House Budget committee on Monday, it was on a party-line vote, with all 16 Republican members voting nay. The same day that Biden was asking Republicans to listen to their voters, House Minority Whip Steve Scalise, R-La., sent out a message to his caucus urging a no vote.

Scalise's ""whip notice"" referred to the bill as the ""Pelosi's Payoff to Progressives Act,"" the latest in what has become an increasingly desperate messaging campaign. Sen. Marsha Blackburn, R-Tenn., tried a similar tactic on Twitter on Wednesday, attempting to point out wasteful items hidden in the bill. But as far as dunks go, this was less a backboard breaker and more of a ""get the ball stuck behind the rim"" situation.

Now, there's still a chance that Republicans' cynical gamble will pay off for them politically. By fall 2010, just ahead of the midterms, the GOP's anti-Obama mantra had sunk in with voters — more than two-thirds of Americans thought the 2009 stimulus bill was ""a waste"" by then. But Democrats may have learned their lesson: Go big or go home. They aren't budging on the size and scope of the bill, making it less likely that its effects are forgotten quickly.

All this means that I, for one, am looking forward to the midterm commercials in 2022, when Republican members of the House are touting the benefits of the package while bending over backward to avoid citing where the funding came from. But we'll know. And we'll remember how hard they worked to block it.",MSNBC,"['bill', 'republican', 'poll', 'popular', 'democrats', 'package', 'house', 'senate', 'needs', 'plan', 'bidens', 'accept', 'republicans', 'stimulus', 'americans', 'gop']",0
2021-02-27 18:25:08+00:00,37,"JavaScript is not available.

We’ve detected that JavaScript is disabled in this browser. Please enable JavaScript or switch to a supported browser to continue using twitter.com. You can see a list of supported browsers in our Help Center.

Help Center",MSNBC,"['browser', 'javascript', 'supported', 'disabled', 'list', 'help', 'using', 'twittercom', 'enable', 'switch']",0
2021-02-27 16:33:04+00:00,138,"WASHINGTON — In a bid to align his unity pitch with his pursuit of a bold agenda, President Joe Biden has been selling his $1.9 trillion Covid-19 package as bipartisan.

But that message crashed into a hard reality early Saturday morning when the House passed the bill — without a single Republican vote.

In recent weeks, Biden’s chief of staff Ron Klain has marshaled the White House messaging apparatus to make the case that the president's aid package is bipartisan, not because any GOP lawmakers have signed on, but because polls show it has support from a large majority of the public, and because some Republican mayors and officials outside Washington have backed it.

The bill now heads to the Senate, where it also lacks GOP support.

Klain has repeatedly cited polls in the face of criticism for pursuing a party-line approach.

More evidence: the American Rescue Plan IS a bipartisan plan -- one that unifies this country! https://t.co/wslD0ITPWW — Ronald Klain (@WHCOS) February 9, 2021

White House digital director Rob Flaherty said Wednesday that the Covid plan is “extremely bipartisan,” citing a Morning Consult poll that showed 76 percent public support, including 60 percent of self-identified Republicans.

While Democrats can pass it without Republicans if they stick together, the dynamic points to a bigger struggle for Biden: The GOP “epiphany” he predicted shows no sign of materializing, and his agenda is likely to face the kind of full-fledged partisan opposition that bedeviled Barack Obama as president.

Asked at a recent CNN town hall how he will heal a divided nation, Biden cited polls that find significant support among Republican voters for his Covid-19 plan. He said they show the U.S. is “not nearly as divided as we make it out to be.”

But those pleas haven't moved Republican lawmakers. His task is complicated by the fact that large numbers of Republican voters falsely say he lost the 2020 election and, according to a recent Pew Research Center poll, want their leaders to stand up to him rather than cut deals.

“That's kind of an interesting approach to it,” former Senate Republican budget staffer Bill Hoagland said. “What they're saying is the Republicans that are here do not represent their constituents back home and therefore we should listen to the constituents.”

Hoagland, now at the Bipartisan Policy Center, said bipartisanship in Washington has historically meant winning votes from the other party. He said he has never seen it defined by polls during his 25 years working on Capitol Hill, calling Biden’s version “an interesting twist on the legislative and democratic process.”

But many progressives like the new approach, including those who were critical of Biden’s talk of unity.

“I think it’s super smart,"" said Adam Jentleson, a former aide to Senate Democratic leader Harry Reid. ""If you let Mitch McConnell define what is bipartisan, nothing ever will be. Defining it based on public opinion is accurate and opens the door to doing big things,”

'You Can't Have It Both Ways'

The frustration has extended to Republicans on Capitol Hill who hoped that Biden would cut down his $1.9 trillion package to win their support, but those talks dissolved after Biden decided their $618 billion plan was too small to address the crisis.

“No matter how many times they tweet about it, unelected White House staffers can’t singlehandedly change the definition of ‘unity.’ At some point, just have the courage to admit what you’re doing: pushing a partisan bill through a partisan process,” said a Republican aide familiar with the bipartisan Covid-19 relief talks. “You can’t have it both ways.”

Matt Gorman, a GOP consultant and campaign operative, called Biden’s approach “too clever by half.”

As a candidate, Biden often waxed nostalgic about cross-party cooperation during his time in the Senate and said he'd be a president who works to revive that spirit. His tenure dates to the 1970s and 1980s, an era when the two parties each had a broad mix of liberals and conservatives in their ranks, which paved the way for bipartisan coalitions. That isn't the case today.

Download the NBC News app for breaking news and politics

""President Biden promised unity, but Democrats are delivering one-party rule,"" House Minority Leader Kevin McCarthy, R-Calif., said before his entire caucus was joined by two Democrats in voting against the bill.

In his inaugural address last month, Biden used the word “unity” eight times and said, “We have never, ever, ever failed in America when we have acted together.”

On Feb. 2, Klain cited a Yahoo News/YouGov poll showing that more than two-thirds of Americans support the policies in his American Rescue Plan. ""This IS a bipartisan agenda,"" he tweeted.

On Monday, Klain wrote that the plan ""has bipartisan support among voters; state/local leaders; business & labor,"" and that it ""should get the same in Congress.""

At a recent meeting with labor leaders in the Oval Office, Biden said that “based on the polling data,” Americans “want everything that’s in the plan — not a joke.”

White House press secretary Jen Psaki has been peppered with questions from reporters in her daily briefings about whether Biden’s pledge to pursue a Covid-19 bill on a party-line vote breaks his promise of finding common ground.

“He didn’t run on a promise to unite the Democratic and Republican Party into one party in Washington,” Psaki said on Feb. 5. “This package has the vast majority of support from the American public.”",MSNBC,"['republican', 'bill', 'washington', 'unity', 'house', 'biden', 'support', 'pitches', 'votes', 'bidens', 'white', 'plan', 'bipartisan', 'covid']",0
2021-02-27 16:01:47+00:00,78,"Up Next Inside With Jen Psaki 12:00 PM ET

1:00 PM ET Alex Witt Reports

2:00 PM ET Yasmin Vossoughian Reports

3:00 PM ET Yasmin Vossoughian Reports

4:00 PM ET Symone

5:00 PM ET PoliticsNation

6:00 PM ET The Indictment of Donald Trump

8:00 PM ET The Mehdi Hasan Show

9:00 PM ET Ayman

10:00 PM ET The Culture Is: AAPI Women

11:00 PM ET The Indictment of Donald Trump",MSNBC,"['tv', 'indictment', 'trump800', 'yasmin', 'witt', 'et', 'stream', 'donald', 'symone500', 'live', 'msnbc', 'latest', 'women1100', 'shows', 'vossoughian', 'trump']",0
2021-02-27 15:32:07+00:00,84,"WASHINGTON — The House voted early Saturday to pass President Joe Biden's $1.9 trillion Covid-19 relief package, a step to implementing his vision for bringing the pandemic under control just days after the U.S. crossed the tragic milestone of 500,000 deaths.

The Democratic-controlled House voted 219 to 212 to approve the bill, which includes $1,400 direct payments, a $400-a-week federal unemployment bonus, a per-child allowance of up to $3,600 for one year and billions of dollars to distribute the coronavirus vaccines and to assist schools and local governments.

The vote split largely on partisan lines, with every Republican voting against the measure and just two Democrats joining them — Jared Golden of Maine and Kurt Schrader of Oregon.

The bill now goes to the Senate, where a provision to raise the minimum wage is likely to be removed. But the rest of the package is in good shape to pass as Democrats are using a process that doesn't require Republican support.

If enacted, it would be the sixth round of aid from the federal government. The economy is still reeling from widespread shutdowns, and most Americans continue to wait their turns to be vaccinated. Democratic leaders want the bill to become law by March 14, when jobless benefits expire.

Biden thanked the House in a brief address Saturday morning and urged the Senate to move quickly to pass the bill and send it to his desk.

""We have no time to waste,"" Biden said. ""The people of this country have suffered far too much for too long. We need to relieve that suffering, and the American Rescue Plan does just that.""

Earlier Saturday, Speaker Nancy Pelosi, D-Calif., speaking on the House floor, called the legislation ""transformative"" at mitigating poverty. ""We are putting money in workers' pockets... As President Biden has said, help is on the way.""

The legislation faces broad opposition from congressional Republicans. House Minority Leader Kevin McCarthy, R-Calif., decried it as a ""liberal pipedream"" and said Democrats were ""jamming it through in the dead of night.""

""Don’t call it a rescue bill. Don’t call it a relief bill,"" he said. ""For the American people, it is a loser.""

Recent polls show that the package is popular with most Americans, earning 66 percent support in an Economist/YouGov study and 76 percent support in a Morning Consult/Politico survey.

The $1,400 checks would be sent to individuals who make up to $75,000 a year or married couples making $150,000, and payments would gradually decrease for those who make more, zeroing out at $100,000 for individuals and $200,000 for couples.

""Everything is not fixed. We have a long way to go. And that day when everything gets back to normal depends on all of us,"" Biden said Thursday at an event to mark the 50 millionth coronavirus vaccination shot. ""It depends on Congress passing the American Recovery Act.""

Progressives Angry About Minimum Wage

The House bill also includes a federal minimum wage hike from $7.25 to $15 per hour, phased in over four years. The provision, a top progressive priority, is all but doomed in the Senate after a ruling Thursday evening by the in-house referee that it violates the chamber's rules for legislation that can pass with a simple majority.

Biden had included the wage hike in his proposal. White House press secretary Jen Psaki said in response to the ruling that the president is ""disappointed"" but ""respects the parliamentarian’s decision and the Senate’s process.""

Psaki said he would ""determine the best path forward"" on a minimum wage increase, but called on legislators to ""move quickly to pass"" the rest of the Covid-19 relief package in the meantime.

Pelosi said the House, which is not bound by the Senate's procedural restrictions, would keep the $15 wage provision in its bill on Friday despite the parliamentarian's decision.

""House Democrats believe that the minimum wage hike is necessary,"" she said.

The federal wage floor of $7.25 an hour hasn't risen since 2009.

After the parliamentarian ruling, top Senate Democrats immediately began looking for a way to use tax penalties to push companies to pay higher wages, which is more likely to comply with the rules.

Senate Finance Chair Ron Wyden, D-Ore., said Friday he's working on a ""plan B"" that would slap a 5 percent tax penalty on big corporations' overall payroll, growing over time, if their workers make less than a certain amount. It'd include ""safeguards"" against companies outsourcing labor or replacing workers with contractors to ""avoid paying living wages,"" he said.

Download the NBC News app for breaking news and politics

Senate Majority Leader Chuck Schumer, D-N.Y., is considering adding to the Senate bill ""a new provision to penalize large corporations that don’t pay their workers at least a $15 minimum wage,"" said a senior Democratic aide.

Democrats are eager to address the issue in the reconciliation process because it would otherwise be subject to the 60-vote threshold in the Senate, all but ensuring its demise due to a lack of Republican support for their minimum wage plans.

The rest of the $1.9 trillion package has overwhelming support among Democratic lawmakers, and it is expected to become law, possibly with some changes in the Senate.

""This is a spectacular piece of legislation,"" Pelosi said, assuring that minimum wage kerfuffle wouldn't stop the bill from becoming law. ""While the Senate has prevented us temporarily from passing one aspect of it, let us not be distracted from what is in here.""",MSNBC,"['bill', 'democrats', 'relief', 'funding', 'package', 'house', 'trillion', '19', 'wage', 'senate', 'passes', 'minimum', 'pass', 'support', 'vaccine', 'workers', 'checks', 'covid']",0
2021-02-27 12:10:06+00:00,45,"JavaScript is not available.

We’ve detected that JavaScript is disabled in this browser. Please enable JavaScript or switch to a supported browser to continue using twitter.com. You can see a list of supported browsers in our Help Center.

Help Center",MSNBC,"['browser', 'javascript', 'supported', 'disabled', 'list', 'help', 'using', 'twittercom', 'enable', 'switch']",0
2021-02-27 09:32:01+00:00,92,"Pandemic poverty surges as billionaires profit in Covid-19 era
https://t.co/P0NMOgoWuX",MSNBC,[],0
2021-02-27 07:07:28+00:00,202,"WASHINGTON — The House voted early Saturday to pass President Joe Biden's $1.9 trillion Covid-19 relief package, a step to implementing his vision for bringing the pandemic under control just days after the U.S. crossed the tragic milestone of 500,000 deaths.

The Democratic-controlled House voted 219 to 212 to approve the bill, which includes $1,400 direct payments, a $400-a-week federal unemployment bonus, a per-child allowance of up to $3,600 for one year and billions of dollars to distribute the coronavirus vaccines and to assist schools and local governments.

The vote split largely on partisan lines, with every Republican voting against the measure and just two Democrats joining them — Jared Golden of Maine and Kurt Schrader of Oregon.

The bill now goes to the Senate, where a provision to raise the minimum wage is likely to be removed. But the rest of the package is in good shape to pass as Democrats are using a process that doesn't require Republican support.

If enacted, it would be the sixth round of aid from the federal government. The economy is still reeling from widespread shutdowns, and most Americans continue to wait their turns to be vaccinated. Democratic leaders want the bill to become law by March 14, when jobless benefits expire.

Biden thanked the House in a brief address Saturday morning and urged the Senate to move quickly to pass the bill and send it to his desk.

""We have no time to waste,"" Biden said. ""The people of this country have suffered far too much for too long. We need to relieve that suffering, and the American Rescue Plan does just that.""

Earlier Saturday, Speaker Nancy Pelosi, D-Calif., speaking on the House floor, called the legislation ""transformative"" at mitigating poverty. ""We are putting money in workers' pockets... As President Biden has said, help is on the way.""

The legislation faces broad opposition from congressional Republicans. House Minority Leader Kevin McCarthy, R-Calif., decried it as a ""liberal pipedream"" and said Democrats were ""jamming it through in the dead of night.""

""Don’t call it a rescue bill. Don’t call it a relief bill,"" he said. ""For the American people, it is a loser.""

Recent polls show that the package is popular with most Americans, earning 66 percent support in an Economist/YouGov study and 76 percent support in a Morning Consult/Politico survey.

The $1,400 checks would be sent to individuals who make up to $75,000 a year or married couples making $150,000, and payments would gradually decrease for those who make more, zeroing out at $100,000 for individuals and $200,000 for couples.

""Everything is not fixed. We have a long way to go. And that day when everything gets back to normal depends on all of us,"" Biden said Thursday at an event to mark the 50 millionth coronavirus vaccination shot. ""It depends on Congress passing the American Recovery Act.""

Progressives Angry About Minimum Wage

The House bill also includes a federal minimum wage hike from $7.25 to $15 per hour, phased in over four years. The provision, a top progressive priority, is all but doomed in the Senate after a ruling Thursday evening by the in-house referee that it violates the chamber's rules for legislation that can pass with a simple majority.

Biden had included the wage hike in his proposal. White House press secretary Jen Psaki said in response to the ruling that the president is ""disappointed"" but ""respects the parliamentarian’s decision and the Senate’s process.""

Psaki said he would ""determine the best path forward"" on a minimum wage increase, but called on legislators to ""move quickly to pass"" the rest of the Covid-19 relief package in the meantime.

Pelosi said the House, which is not bound by the Senate's procedural restrictions, would keep the $15 wage provision in its bill on Friday despite the parliamentarian's decision.

""House Democrats believe that the minimum wage hike is necessary,"" she said.

The federal wage floor of $7.25 an hour hasn't risen since 2009.

After the parliamentarian ruling, top Senate Democrats immediately began looking for a way to use tax penalties to push companies to pay higher wages, which is more likely to comply with the rules.

Senate Finance Chair Ron Wyden, D-Ore., said Friday he's working on a ""plan B"" that would slap a 5 percent tax penalty on big corporations' overall payroll, growing over time, if their workers make less than a certain amount. It'd include ""safeguards"" against companies outsourcing labor or replacing workers with contractors to ""avoid paying living wages,"" he said.

Download the NBC News app for breaking news and politics

Senate Majority Leader Chuck Schumer, D-N.Y., is considering adding to the Senate bill ""a new provision to penalize large corporations that don’t pay their workers at least a $15 minimum wage,"" said a senior Democratic aide.

Democrats are eager to address the issue in the reconciliation process because it would otherwise be subject to the 60-vote threshold in the Senate, all but ensuring its demise due to a lack of Republican support for their minimum wage plans.

The rest of the $1.9 trillion package has overwhelming support among Democratic lawmakers, and it is expected to become law, possibly with some changes in the Senate.

""This is a spectacular piece of legislation,"" Pelosi said, assuring that minimum wage kerfuffle wouldn't stop the bill from becoming law. ""While the Senate has prevented us temporarily from passing one aspect of it, let us not be distracted from what is in here.""",MSNBC,"['bill', 'democrats', 'relief', 'funding', 'package', 'house', 'trillion', '19', 'wage', 'senate', 'passes', 'minimum', 'pass', 'support', 'vaccine', 'workers', 'checks', 'covid']",0
