Datetime,retweetCount,Text,Username,Keywords,truthfulness
2021-02-27 19:37:14+00:00,16,"The UK has been leading the way in sequencing, analysing more samples than any other country - around 15 per cent of positive Covid-19 tests. But this still means many cases of new variants could be slipping through the net.

The PCR-style test would significantly increase the Government's ability to get quick snapshots of what variants are present in different parts of the country, then contain them.

It can test for the UK, South African and Brazilian variants and could be easily expanded to others if desired.

""It would be unfortunate if such variants spread in the population as they might undermine the control of the epidemic,"" said Prof Astrid Iversen, professor of virology and immunology at the University of Oxford.

""Whether you use it as part of the diagnostic test or as an additional test on all positive samples, it will be possible to run it within a typical working day.

""Consequently, you will simultaneously be able to inform people about a positive result and about whether they carry a problematic coronavirus variant or not. Moreover, it will be possible to share this information with track and trace, which subsequently can focus better on these individuals and their contacts.

""This comprehensive and quick response would help contain - and possibly eliminate - the spread of problematic variants in many cases that would otherwise be missed.""

Stephanie Oerum, research scientist at Novozymes, said the test can be run on up to 120 samples in just two hours.

""This test is the same as the PCR but with a small tweak and you're able to very quickly adjust it to new mutations,"" she said.

""It takes two hours to run the test and a day to run the sample in a facility and send it to the end user.""

The team is confirming the accuracy of the test by seeing if it can correctly detect the variant present in samples which have already been sequenced. They will publish the full results when this process is complete.",Telegraph,"['detect', '24', 'uk', 'rapid', 'variant', 'quick', 'test', 'variants', 'problematic', 'positive', 'covid19', 'samples', 'hours', 'spread', 'run']",0
2021-02-26 18:31:46+00:00,2,"The UK has now given out over 19m first doses of the Covid-19 vaccine - use our tool to see if your area is ahead or behind target ⬇️

https://t.co/4O7FIdRrwV",Telegraph,[],0
2021-02-26 18:29:19+00:00,1,,Telegraph,"['boosters', 'map', 'uk', 'live', 'cases', 'coronavirus', 'deaths', 'vaccines']",0
2021-02-26 18:28:25+00:00,6,,Telegraph,"['boosters', 'map', 'uk', 'live', 'cases', 'coronavirus', 'deaths', 'vaccines']",0
2021-02-25 16:58:42+00:00,5,"It’s hard to fathom that, just over a year ago, we would stand elbow-to-elbow with our fellow humans, without a second thought as to whether they might infect us with a highly contagious disease called Covid-19.

Every February, revellers would take to the streets in Venice, wearing masks for fun, rather than to prevent infection. In spring, thousands of marathon runners would trample the streets in London, while on Easter Sundays the Pope would address the masses in St Peter’s Square. Gathering was something we enjoyed doing, rather a lot.

In this series of photographs, we look at how, over 12 months, the pandemic has transformed some of the world’s busiest sights. To not only remind us of what we have lost but also of what we can look forward to once the world returns to normal, whenever that might be.

Times Square

Of the 66 million people who came to New York City in 2019, it is estimated that 50 million paid a visit to the hyperactive heart of Manhattan: Times Square. In pre-pandemic times, hundreds of thousands of pedestrians would pass through each day, but during the Covid-19 lockdowns of 2020 and 2021 it has been deserted.

On New Year’s Eve, only a select handful of key workers and special guests were invited to watch the ball drop – an event which usually attracts huge crowds. What does the future hold, for tourism in the Big Apple?

The city's tourism promotion agency, NYC & Company, forecasts they won't be back to 2019 numbers until 2025.

“It’s going to be a very slow build initially,” said CEO Fred Dixon. The United States is one of the worst-affected countries in the world, with 28.9 million cases and just shy of 514,000 deaths. However, it is leading the charge when it comes to vaccinations – it has issued 65 million doses, more than any other country, amounting to 16 per cent of the population.

Leadenhall

For the first time since 1988, London’s population is in decline. The Economic Statistics Centre of Excellence predicts the city’s population could drop by as much as 700,000 over the next year. The rise in home working due to Covid-19 lockdowns, dropping birth rates and an exodus of EU residents after Brexit are all contributing to the decline. Even during the months when the UK was out of lockdown, some corners of the City, like Leadenhall Market, saw declines in footfall as office workers stayed at home.

Buckingham Palace

Unsurprisingly, tourism is down in London, too. The 9.7 million tourists who came in 2020 spent approximately £5.7 billion, compared to the £24.7 billion spent by the 32.3 million who visited the year before. Visit Britain is optimistic that tourism in 2021 will be up 21% on 2020 figures.

London Marathon

The London Marathon looked slightly different in 2020. Unlike typical years, when you would see tens of thousands of runners take to the streets in all manner of comedy costumes, due to the pandemic only 92 elite athletes took part. This didn’t stop the general public from joining in; some 43,000 people participated in a ‘virtual marathon’ closer to home, raising millions for charity.

Edinburgh

The cancellation of the Edinburgh Fringe was a huge loss for the city. More than 25,000 artists, writers and performers from around the world usually take part in the event. Nicola Sturgeon described the decision as ""heartbreaking, but the right decision"". It is still yet to be seen whether the Fringe will go ahead in 2021.

Cardiff

The area around Cardiff’s Millennium Centre is usually a hub of activity, with food stands and entertainment for children in the summer. During the Covid-19 lockdowns and ‘firebreaks’, it has been something of a ghost town. To date, Wales has recorded 202,000 cases of Covid-19 and 5,250 deaths.

Eiffel Tower

For the first time since World War Two, the Eiffel Tower has been closed to guests for many months over the past year. However, Gustav Eiffel’s architectural set-piece hasn’t been forgotten about.

It was announced earlier this month that the tower will be turning gold ahead of the Paris 2024 Olympic and Paralympic Games, a project that will reportedly cost €50 million.

Allegedly, this is the colour that Eiffel originally intended for the tower – rather than the brown hue it has sported since 1968. Paris will be the third city (the other being London) to have hosted three Olympics – in 1900, 1924 and 2024, and the Eiffel Tower will form the symbolic backdrop for a number of events, including the triathlon and open-water swimming events.

Louvre

Possibly the world’s most famous painting, prior to the pandemic the Mona Lisa would attract 30,000 daily visits – jostling for space with selfie sticks in hand. For months in 2020, she was not seen by a single pair of eyes. In total, visits to the Louvre were down from 9.6 million in 2019 to 2.7 million in 2020.

Barcelona

In the years leading up to the pandemic, Barcelona was under pressure for its handling of so-called “overtourism”, with short-term lettings sites like Airbnb pushing up the cost of rent in the city. In 2020, the talking point of the city was the absence, not excess, of tourists as strict travel bans came into force. Pere Mariné, a native of the city’s Poblenou neighbourhood, said in May: “We’re enjoying the clean air, the calm, the silence, the peacefulness, above all because we’re not used to it. But we also miss the life of the city, the good and the bad.”

Duomo

In February and March of 2020, Italy became the epicentre of the pandemic in Europe. After cases boomed, all non-essential production and commercial activity stopped for 10 weeks from March to May – the first country in Europe to enter a national lockdown. To date, Italy has recorded more than 2.8 million cases, although France, Spain and the UK now have higher case totals.

Venice

Carnival season usually brings colour and frivolity to the floating city, pumping some much-needed money into the local economy during the quiet winter season. In normal years, for two weeks this most magical of cities fills with a mass of masked party-goers – posing and preening, dancing and philandering, in a slightly surreal re-invention of a great tradition of the city.

Not so, in 2021. The 3 million tourists who would typically attend were absent, meaning only a handful of residents took part. On Sunday, February 14, the last one of Carnival season, St Mark's Square was occupied by a smattering of locals, many of whom would usually flee the city during these hectic weeks.

“It’s so odd to only hear Italian being spoken here,” said a masked Venetian woman dressed as a courtesan. “I don’t know if I like it this way. It just doesn’t seem like Carnival.” The last time the carnival was cancelled was in 1991, due to the Gulf War.

All images provided by Getty",Telegraph,"['million', 'usually', 'lockdown', 'destinations', 'tower', 'tourism', 'pandemic', 'emptied', 'months', 'tourist', 'worlds', 'london', 'city', 'popular', 'world', '2020', 'pictures']",0
2021-02-24 17:24:50+00:00,3,"Parents of secondary school pupils should enforce them taking two coronavirus tests a week to prevent the spread of infection in the classroom, the Education Secretary has said, on the eve of a major announcement on this year's exam system.

Gavin Williamson said the Government would ""hope that parents would be there to support their children"" in taking two tests a week, which will be conducted at home.

Schools will return on March 8, but secondary schools and colleges will be phased back in to allow for testing facilities to be set up.

Secondary school pupils will be supervised for the first two weeks, then take tests at home.

""We will be seeing in that first two weeks that children will be supervised...but following on from that I would hope that parents would help,"" Mr Williamson said at a Downing Street briefing.

The Education Secretary refused to preempt an announcement on this year's exam system, which will be made in Parliament tomorrow, but repeated his commitment that there will be ""no algorithm whatsoever"" to avoid the fiasco of last year's results.

MPs today called for certainty over this year's exams so that children who have spent much of the last year out of the classroom can ""focus on their futures"".

Steve Baker, deputy chairman of the Covid Recovery Group of lockdown-sceptic Tory MPs, told The Telegraph: ""Reflecting on the young people I represent, I want certainty for them about their exams. I'm confident certainty will allow them to be focused on their futures with a confidence that's been missing for too long.""",Telegraph,"['week', 'enforce', 'children', 'secretary', 'certainty', 'williamson', 'tests', 'covid', 'secondary', 'gavin', 'parents', 'taking', 'weeks']",0
2021-02-24 12:13:18+00:00,0,"Parents of secondary school pupils should enforce them taking two coronavirus tests a week to prevent the spread of infection in the classroom, the Education Secretary has said, on the eve of a major announcement on this year's exam system.

Gavin Williamson said the Government would ""hope that parents would be there to support their children"" in taking two tests a week, which will be conducted at home.

Schools will return on March 8, but secondary schools and colleges will be phased back in to allow for testing facilities to be set up.

Secondary school pupils will be supervised for the first two weeks, then take tests at home.

""We will be seeing in that first two weeks that children will be supervised...but following on from that I would hope that parents would help,"" Mr Williamson said at a Downing Street briefing.

The Education Secretary refused to preempt an announcement on this year's exam system, which will be made in Parliament tomorrow, but repeated his commitment that there will be ""no algorithm whatsoever"" to avoid the fiasco of last year's results.

MPs today called for certainty over this year's exams so that children who have spent much of the last year out of the classroom can ""focus on their futures"".

Steve Baker, deputy chairman of the Covid Recovery Group of lockdown-sceptic Tory MPs, told The Telegraph: ""Reflecting on the young people I represent, I want certainty for them about their exams. I'm confident certainty will allow them to be focused on their futures with a confidence that's been missing for too long.""",Telegraph,"['week', 'enforce', 'children', 'secretary', 'certainty', 'williamson', 'tests', 'covid', 'secondary', 'gavin', 'parents', 'taking', 'weeks']",0
2021-02-23 11:54:01+00:00,10,"The UK has faced a more stringent coronavirus lockdown than France, Germany and the US, according to analysis by the University of Oxford.

Researchers at the university’s Blavatnik School have compiled a Covid-19 Government Response Tracker, which records what policies have been enforced in more than 180 countries since the pandemic began.

Each country has been given a score of one to 100 – with 100 being the most stringent – which takes into account workplace and school closures, restrictions on public gatherings, international travel controls and stay-at-home requirements, among others.

Britons have experienced the most stringent lockdown life compared to others in the West with a daily score of 86.11, compared with 83.33 in Germany, 82.41 in Italy and 63.89 in France.

The UK’s approach has been so strict that only two other countries recorded a higher score – Venezuela, (88) and Lebanon (87). Peru and Zimbabwe have the same score as Britain. The countries with the most lenient lockdown rules are Somalia (2.78), Nicaragua (8.33), and Afghanistan (12.04).",Telegraph,"['100', 'school', 'lockdown', 'countries', 'germany', 'compared', 'covid', 'response', 'toughest', 'britains', 'score', 'stringent', 'ranked', 'world', 'zimbabwe', 'workplace']",0
2021-02-22 19:30:11+00:00,1,"The Government is now vaccinating the over-50s, which will lead to a ""significant further reduction"" in deaths and hospitalisations, Whitty says.

He adds, 42% of people hospitalised with Covid-19 are under the age of 65",Telegraph,[],0
2021-02-22 19:26:09+00:00,1,"Prof Chris Whitty says the number of people who are testing positive, being hospitalised and are dying with Covid-19 is high but falling.

The improvement in numbers is due to people following the 'stay home' guidance.

The rollout of the vaccine has been ""extraordinary,"" he says",Telegraph,[],0
