,Datetime,TweetID,URL,UserLocation,likeCount,retweetCount,Text,Username
0,2023-02-18 11:33:29+00:00,1626907754945470469,https://twitter.com/tomdean00/status/1626907754945470469,United Kingdom,201,11,3 years ☀️🇦🇺 https://t.co/nwJXt7aMaf,tomdean00
1,2023-02-07 16:41:13+00:00,1622998931121770497,https://twitter.com/tomdean00/status/1622998931121770497,United Kingdom,82,2,"Focused ⏳

- 📷 @wadesphotos https://t.co/7vJx5UdwBM",tomdean00
2,2023-01-27 11:03:52+00:00,1618927766539493377,https://twitter.com/tomdean00/status/1618927766539493377,United Kingdom,216,9,"18 months down 🇯🇵
18 months to go 🇫🇷 https://t.co/2RkiK4b44L",tomdean00
3,2022-12-22 21:33:21+00:00,1606040220234702848,https://twitter.com/tomdean00/status/1606040220234702848,United Kingdom,2,0,@JoeCordina_91 🔥,tomdean00
4,2022-12-18 12:11:05+00:00,1604449168793432064,https://twitter.com/tomdean00/status/1604449168793432064,United Kingdom,376,18,"Happy to wrap up 2022 with a World Champs medal round my neck 🌍 

Very proud to complete the set of Individual medals at every major international now 🥇🥈🥉

Time for a Christmas break then roll on some long course racing!

#thankyoumelbourne 🇦🇺 https://t.co/tqEQteMN80",tomdean00
5,2022-11-14 19:49:41+00:00,1592243392079175680,https://twitter.com/tomdean00/status/1592243392079175680,United Kingdom,193,7,"Honoured to be presented with Athlete of the Year at the British Swimming Awards 2021-22 🏆

Big shoutout to the other nominees @dunks_scott, @adam_peaty and @benproudswim  - all equally deserving of this award 🙌 

Roll on the next 2 years! 📈 https://t.co/mLYtiyiSzl",tomdean00
6,2022-10-12 18:45:13+00:00,1580268367831011328,https://twitter.com/tomdean00/status/1580268367831011328,United Kingdom,42,3,"Some pretty tough competition there 😮‍💨
@MichaelPhelps",tomdean00
7,2022-09-05 16:31:11+00:00,1566826287141994496,https://twitter.com/tomdean00/status/1566826287141994496,United Kingdom,20,7,"Hey @British_Airways you’ve lost one of our bags and we’re being charged to get it back.
Who can I call to sort this out?? 🤔🤔",tomdean00
8,2022-09-05 16:27:11+00:00,1566825280962011137,https://twitter.com/tomdean00/status/1566825280962011137,United Kingdom,0,1,"@British_Airways you’ve lost one of our bags and we’re being charged to get it back…
Who can I call to sort this out?? 🤔🤔",tomdean00
9,2022-08-23 07:57:30+00:00,1561985971624853508,https://twitter.com/tomdean00/status/1561985971624853508,United Kingdom,18,3,"It was loads of fun taking on @maxwhitlock1 in this three-part challenge @uniofhull! They've got some great facilities on campus! But you'll have to watch the series on YouTube to find out who took the win! 🏎💥

https://t.co/K7AXwKG4RN",tomdean00
10,2022-08-17 18:01:47+00:00,1559963715990167552,https://twitter.com/tomdean00/status/1559963715990167552,United Kingdom,1506,30,"Over and out 👋 🇮🇹

That’s the season finished! 
3 majors, 30+ races and 13 international medals 🥇🥈🥉

Now time for a much needed break

Ciao, grazie ❤️ https://t.co/qbTPs1NtJb",tomdean00
11,2022-08-04 08:20:11+00:00,1555106310429057024,https://twitter.com/tomdean00/status/1555106310429057024,United Kingdom,661,27,"England’s most decorated athlete at a Commonwealth Games 🏴󠁧󠁢󠁥󠁮󠁧󠁿 

What an honour to make history for my country and winning the relay with the lads last night was unreal 🔥  

I can’t thank the supporters enough, I’ve never heard a crowd like that before. Thank you Birmingham ❤️🤍 https://t.co/J39vofGep1",tomdean00
12,2022-08-03 22:21:44+00:00,1554955704779292673,https://twitter.com/tomdean00/status/1554955704779292673,United Kingdom,11,0,@SiobhanMOConnor 💜,tomdean00
13,2022-08-02 11:37:02+00:00,1554431072422731776,https://twitter.com/tomdean00/status/1554431072422731776,United Kingdom,399,18,"Such an exciting start to my first Commonwealth Games - 5 medals from 5 races! 🥈🥈🥈🥈🥈

Always so much fun racing with your mates and even better with such a great crowd 🔥

Two races left tomorrow to finish off! 🙌 https://t.co/hCaYrdOPgv",tomdean00
14,2022-07-29 10:43:23+00:00,1552968020993183747,https://twitter.com/tomdean00/status/1552968020993183747,United Kingdom,300,11,"Here we go! 🔥
First day of racing kicking off today here in Birmingham. 200 up tomorrow 🏴󠁧󠁢󠁥󠁮󠁧󠁿🙌 https://t.co/tpmAoiduaS",tomdean00
15,2022-07-27 17:52:30+00:00,1552351237072474112,https://twitter.com/tomdean00/status/1552351237072474112,United Kingdom,380,15,One year on 💜 https://t.co/9rq5HICQdt,tomdean00
16,2022-07-15 16:21:47+00:00,1547979750651547648,https://twitter.com/tomdean00/status/1547979750651547648,United Kingdom,838,16,An honour and a privilege 🎖🇬🇧 https://t.co/Cb8bkMy7Yg,tomdean00
