,Datetime,TweetID,URL,UserLocation,likeCount,retweetCount,Text,Username
0,2022-03-18 08:17:30+00:00,1504733722439999519,https://twitter.com/DjokerNole/status/1504733722439999519,,6572,574,The @novakfoundation’s 50th preschool! I’m so proud of our team 🙏🙌🤩🥳 @jelenadjokovic,DjokerNole
1,2022-03-09 22:13:39+00:00,1501682656483893249,https://twitter.com/DjokerNole/status/1501682656483893249,,49456,5695,While I was automatically listed in the @BNPPARIBASOPEN and @MiamiOpen draw I knew it would be unlikely I’d be able to travel. The CDC has confirmed that regulations won’t be changing so I won't be able to play in the US. Good luck to those playing in these great tournaments 👊,DjokerNole
2,2022-03-02 09:02:41+00:00,1498946887013052417,https://twitter.com/DjokerNole/status/1498946887013052417,,23330,1491,What a journey Marian. 15 years! 🤯😃 You have been by my side during the most important &amp; memorable moments. We have achieved the unachievable &amp; I will forever be grateful for your friendship &amp; dedication. You will always be my family &amp; I can’t thank you enough for everything 🙏🏻 https://t.co/8ihJP2VpiS,DjokerNole
3,2022-02-24 21:13:38+00:00,1496956508495441922,https://twitter.com/DjokerNole/status/1496956508495441922,,526,45,@NovakFanClub @KrisSekMNT @mikikant_liber @yerikilyassov @meghs1710 @alexxandra1011 @PHNDjokovic @takeitysy @nolefangal @meokee @jelenadjokovic @DDFTennis ❤️,DjokerNole
4,2022-02-24 21:12:07+00:00,1496956129057902592,https://twitter.com/DjokerNole/status/1496956129057902592,,15836,1121,"Congratulations also to a very deserving @DaniilMedwed, who will now become world number 1. 👏🙌",DjokerNole
5,2022-02-24 21:12:07+00:00,1496956127547899908,https://twitter.com/DjokerNole/status/1496956127547899908,,13755,546,"Well played @jiri_vesely, that was a great game. Wish you the best of luck for the rest of the tournament. 👍",DjokerNole
6,2022-02-21 21:01:12+00:00,1495866217563037696,https://twitter.com/DjokerNole/status/1495866217563037696,,1175,91,@TennisTV 🕷,DjokerNole
7,2022-02-21 20:59:13+00:00,1495865718566694913,https://twitter.com/DjokerNole/status/1495865718566694913,,51527,4561,"Couldn’t have asked for a better reception back on court 🙏🏼 #DDFTennis #NoleFam

📸: Karim Sahib https://t.co/fEhcyYBCfD",DjokerNole
8,2022-02-15 11:16:43+00:00,1493544798732664834,https://twitter.com/DjokerNole/status/1493544798732664834,,32513,2428,Thank you to my fans who supported me over the past few weeks. I appreciate your patience 🙏🏼,DjokerNole
9,2022-02-15 11:16:42+00:00,1493544796983599104,https://twitter.com/DjokerNole/status/1493544796983599104,,34758,4110,"I am grateful for the opportunity to answer questions from @amolrajan and set the record straight. Watch the full interview today at 8.30pm GMT on @BBC1 in the UK and BBC World.

https://t.co/QkFH1p8GWJ",DjokerNole
10,2022-01-31 21:49:09+00:00,1488268136323239936,https://twitter.com/DjokerNole/status/1488268136323239936,,10514,707,Xin Chun Kuai Le to everyone celebrating #LunarNewYear! 🥳🧧 #YearOfTheTiger #ChineseNewYear,DjokerNole
11,2022-01-30 18:33:18+00:00,1487856461090897923,https://twitter.com/DjokerNole/status/1487856461090897923,,13872,802,Now with the right @DaniilMedwed tagged! You put up one hell of a fight today and I know you will have many more Grand Slam wins in your future 👏💪,DjokerNole
12,2022-01-30 15:41:50+00:00,1487813313790677001,https://twitter.com/DjokerNole/status/1487813313790677001,,62762,7366,Congratulations to @RafaelNadal for 21st GS. Amazing achievement. Always impressive fighting spirit that prevailed another time. Enhorabuena 👏🏆👍   @Medwed33 gave it his all out there and played with the passion and determination we have come to expect from him. https://t.co/DsOvK8idNc,DjokerNole
13,2022-01-30 15:41:48+00:00,1487813305758584841,https://twitter.com/DjokerNole/status/1487813305758584841,,34277,2068,There has been some outstanding tennis played at this year’s #AusOpen and the finals were exceptional. Congratulations to @ashbarty for an amazing performance in front of her home crowd and to Danielle Collins for an incredible tournament. https://t.co/qM3pcDnAeL,DjokerNole
14,2022-01-12 02:30:22+00:00,1481091151369232385,https://twitter.com/DjokerNole/status/1481091151369232385,,19647,2609,"STATEMENT BY NOVAK DJOKOVIC
12 January 2022
https://t.co/qhreHUYlQ8",DjokerNole
15,2022-01-10 13:17:55+00:00,1480529335580864513,https://twitter.com/DjokerNole/status/1480529335580864513,,93204,9644,For now I cannot say more but THANK YOU all for standing with me through all this and encouraging me to stay strong 🙏🙏🙏🙏,DjokerNole
16,2022-01-10 13:17:16+00:00,1480529173789696001,https://twitter.com/DjokerNole/status/1480529173789696001,,197088,29593,"I’m pleased and grateful that the Judge overturned my visa cancellation. Despite all that has happened,I want to stay and try to compete @AustralianOpen 
I remain focused on that. I flew here to play at one of the most important events we have in front of the amazing fans. 👇 https://t.co/iJVbMfQ037",DjokerNole
17,2022-01-04 10:55:19+00:00,1478319125000765440,https://twitter.com/DjokerNole/status/1478319125000765440,,7131,313,"Prijalo mi je da budem sa svojom porodicom i dragim ljudima, odmorio sam se od veoma duge i uspešne sezone 2021. Sada krećem u Australiju jer sam dobio izuzeće i spreman sam da živim i dišem tenis narednih par nedelja takmičenja. Hvala svima na podršci! Idemooooo ‘22 💪🏼",DjokerNole
18,2022-01-04 10:55:19+00:00,1478319123688046594,https://twitter.com/DjokerNole/status/1478319123688046594,,8293,368,"Srećna svima Nova godina! Želim vam mnogo zdravlja, ljubavi, radosti i sreće. Da vidite, dišete i mislite ljubav i da negujete poštovanje prema svakoj osobi i živom biću na ovoj divnoj planeti. ❤️🙏🏼",DjokerNole
